### DOMAIN prog — Programming Languages & Paradigms
scope: programming paradigms; type systems; syntax & semantics; memory & resource management; core language features; metaprogramming & reflection; runtimes & execution models; language families & idioms.
prog.imperative-programming | Imperative Programming | sub:paradigms
prog.procedural-programming | Procedural Programming | sub:paradigms
prog.object-oriented | Object-Oriented Programming | sub:paradigms
prog.functional-programming | Functional Programming | sub:paradigms
prog.declarative-programming | Declarative Programming | sub:paradigms
prog.logic-programming | Logic Programming | sub:paradigms
prog.reactive-programming | Reactive Programming | sub:paradigms
prog.array-programming | Array Programming | sub:paradigms
prog.static-vs-dynamic-typing | Static vs Dynamic Typing | sub:type-systems
prog.strong-weak-typing | Strong vs Weak Typing | sub:type-systems
prog.type-inference | Type Inference | sub:type-systems
prog.algebraic-data-types | Algebraic Data Types | sub:type-systems
prog.parametric-polymorphism | Parametric Polymorphism | sub:type-systems
prog.subtyping-variance | Subtyping & Variance | sub:type-systems
prog.type-classes | Type Classes & Traits | sub:type-systems
prog.dependent-types | Dependent & Refinement Types | sub:type-systems
prog.gradual-typing | Gradual Typing | sub:type-systems
prog.syntax-grammar | Syntax & Grammar | sub:language-semantics
prog.lexical-vs-dynamic-scope | Lexical vs Dynamic Scope | sub:language-semantics
prog.evaluation-strategies | Evaluation Strategies | sub:language-semantics
prog.operational-semantics | Operational Semantics | sub:language-semantics
prog.denotational-semantics | Denotational Semantics | sub:language-semantics
prog.lambda-calculus | Lambda Calculus | sub:language-semantics
prog.binding-environments | Binding & Environments | sub:language-semantics
prog.undefined-behavior | Undefined Behavior | sub:language-semantics
prog.manual-memory-management | Manual Memory Management | sub:memory-model
prog.stack-vs-heap | Stack vs Heap | sub:memory-model
prog.garbage-collection | Garbage Collection | sub:memory-model
prog.reference-counting | Reference Counting | sub:memory-model
prog.ownership-borrowing | Ownership & Borrowing | sub:memory-model
prog.raii | RAII & Deterministic Cleanup | sub:memory-model
prog.smart-pointers | Smart Pointers | sub:memory-model
prog.memory-safety | Memory Safety | sub:memory-model
prog.value-vs-reference-semantics | Value vs Reference Semantics | sub:memory-model
prog.first-class-functions | First-Class Functions | sub:lang-features
prog.closures | Closures | sub:lang-features
prog.pattern-matching | Pattern Matching | sub:lang-features
prog.exception-handling | Exception Handling | sub:lang-features
prog.iterators-generators | Iterators & Generators | sub:lang-features
prog.coroutines | Coroutines & Async/Await | sub:lang-features
prog.operator-overloading | Operator Overloading | sub:lang-features
prog.immutability | Immutability & Persistent Data | sub:lang-features
prog.macros | Macros & Code Generation | sub:metaprogramming
prog.homoiconicity | Homoiconicity & Lisp Macros | sub:metaprogramming
prog.reflection | Reflection | sub:metaprogramming
prog.annotations-attributes | Annotations & Attributes | sub:metaprogramming
prog.compile-time-metaprogramming | Compile-Time Metaprogramming | sub:metaprogramming
prog.dsls | Domain-Specific Languages | sub:metaprogramming
prog.aspect-oriented | Aspect-Oriented Programming | sub:metaprogramming
prog.dynamic-eval | Dynamic Evaluation | sub:metaprogramming
prog.compiled-vs-interpreted | Compiled vs Interpreted | sub:runtime
prog.bytecode-vms | Bytecode Virtual Machines | sub:runtime
prog.jit-compilation | JIT Compilation | sub:runtime
prog.managed-runtimes | Managed Runtimes | sub:runtime
prog.ffi-interop | Foreign Function Interface | sub:runtime
prog.execution-models | Concurrency Execution Models | sub:runtime
prog.abstract-machines | Abstract Machines | sub:runtime
prog.wasm-portable-runtimes | WebAssembly & Portable Targets | sub:runtime
prog.c-family | C-Family Languages | sub:lang-families
prog.ml-family | ML-Family Languages | sub:lang-families
prog.lisp-family | Lisp-Family Languages | sub:lang-families
prog.jvm-languages | JVM Languages | sub:lang-families
prog.scripting-languages | Dynamic Scripting Languages | sub:lang-families
prog.systems-languages | Modern Systems Languages | sub:lang-families
prog.idioms-style | Idioms & Conventions | sub:lang-families
prog.imperative-procedural-edge | Imperative-Procedural Link | sub:paradigms
prog.multiparadigm | Multiparadigm Languages | sub:paradigms

### DOMAIN dsa — Data Structures & Algorithms
scope: complexity & analysis; linear structures; trees & heaps; graphs; algorithm design techniques; sorting & searching; string algorithms; advanced & specialized algorithms.
dsa.big-o-notation | Big-O Notation | sub:complexity
dsa.asymptotic-bounds | Asymptotic Bounds | sub:complexity
dsa.amortized-analysis | Amortized Analysis | sub:complexity
dsa.recurrence-relations | Recurrence Relations | sub:complexity
dsa.master-theorem | Master Theorem | sub:complexity
dsa.complexity-classes | P, NP & Reductions | sub:complexity
dsa.space-complexity | Space Complexity | sub:complexity
dsa.dynamic-array | Dynamic Arrays | sub:linear-ds
dsa.linked-list | Linked Lists | sub:linear-ds
dsa.stack | Stack | sub:linear-ds
dsa.queue | Queue | sub:linear-ds
dsa.deque | Deque | sub:linear-ds
dsa.hash-table | Hash Tables | sub:linear-ds
dsa.circular-buffer | Circular Buffer | sub:linear-ds
dsa.binary-tree | Binary Trees | sub:trees
dsa.tree-traversal | Tree Traversal | sub:trees
dsa.bst | Binary Search Trees | sub:trees
dsa.balanced-bst | Balanced BSTs | sub:trees
dsa.binary-heap | Binary Heap | sub:trees
dsa.b-tree | B-Trees | sub:trees
dsa.trie | Trie | sub:trees
dsa.graph-representation | Graph Representation | sub:graphs-ds
dsa.bfs | Breadth-First Search | sub:graphs-ds
dsa.dfs | Depth-First Search | sub:graphs-ds
dsa.topological-sort | Topological Sort | sub:graphs-ds
dsa.shortest-path | Shortest Paths | sub:graphs-ds
dsa.mst | Minimum Spanning Tree | sub:graphs-ds
dsa.scc | Strongly Connected Components | sub:graphs-ds
dsa.union-find | Union-Find | sub:graphs-ds
dsa.divide-and-conquer | Divide & Conquer | sub:algo-design
dsa.dynamic-programming | Dynamic Programming | sub:algo-design
dsa.greedy-algorithms | Greedy Algorithms | sub:algo-design
dsa.backtracking | Backtracking | sub:algo-design
dsa.branch-and-bound | Branch & Bound | sub:algo-design
dsa.two-pointers | Two Pointers & Sliding Window | sub:algo-design
dsa.recursion | Recursion | sub:algo-design
dsa.comparison-sorts | Comparison Sorts | sub:sorting-searching
dsa.linear-sorts | Linear-Time Sorts | sub:sorting-searching
dsa.sorting-lower-bound | Sorting Lower Bound | sub:sorting-searching
dsa.binary-search | Binary Search | sub:sorting-searching
dsa.selection-algorithms | Selection & Order Statistics | sub:sorting-searching
dsa.stability-in-place | Stability & In-Place Sorting | sub:sorting-searching
dsa.string-matching | String Matching | sub:strings
dsa.kmp | KMP Algorithm | sub:strings
dsa.rolling-hash | Rolling Hash | sub:strings
dsa.suffix-structures | Suffix Trees & Arrays | sub:strings
dsa.edit-distance | Edit Distance | sub:strings
dsa.trie-strings | Aho-Corasick | sub:strings
dsa.segment-tree | Segment Trees | sub:advanced-algo
dsa.fenwick-tree | Fenwick Tree | sub:advanced-algo
dsa.bloom-filter | Bloom Filter | sub:advanced-algo
dsa.skip-list | Skip List | sub:advanced-algo
dsa.lru-cache | LRU Cache | sub:advanced-algo
dsa.network-flow | Network Flow | sub:advanced-algo

### DOMAIN systems — Computer Architecture & Compilers
scope: digital logic & hardware; CPU architecture; memory hierarchy; assembly & machine code; compiler front end; compiler back end; linking, loading & binaries; hardware performance.
systems.boolean-algebra | Boolean Algebra | sub:digital-logic
systems.logic-gates | Logic Gates | sub:digital-logic
systems.combinational-logic | Combinational Logic | sub:digital-logic
systems.sequential-logic | Sequential Logic | sub:digital-logic
systems.flip-flops-latches | Flip-Flops & Latches | sub:digital-logic
systems.karnaugh-maps | Karnaugh Maps | sub:digital-logic
systems.number-representation | Number Representation | sub:digital-logic
systems.von-neumann | Von Neumann Architecture | sub:cpu-arch
systems.isa | Instruction Set Architecture | sub:cpu-arch
systems.risc-cisc | RISC vs CISC | sub:cpu-arch
systems.datapath-control | Datapath & Control Unit | sub:cpu-arch
systems.pipelining | Pipelining | sub:cpu-arch
systems.branch-prediction | Branch Prediction | sub:cpu-arch
systems.superscalar-ooo | Superscalar & OoO Execution | sub:cpu-arch
systems.simd-vector | SIMD & Vector Units | sub:cpu-arch
systems.memory-hierarchy-overview | Memory Hierarchy | sub:memory-hierarchy
systems.cache-basics | CPU Caches | sub:memory-hierarchy
systems.cache-mapping | Cache Associativity | sub:memory-hierarchy
systems.cache-coherence | Cache Coherence | sub:memory-hierarchy
